No.,Herb Name,Number of File
0,กกรังกา,20
1,กรดน้ำ,84
10,กระดอม,56
100,ขมิ้น,1043
101,ขมิ้นเครือ,19
102,ขมิ้นดง,1
103,ขมิ้นต้น,6
104,ขมิ้นอ้อย,131
105,ขยัน,277
106,ขลู่,118
107,ขอบชะนาง,191
108,ข่อย,203
109,ข่อยหยอง,3
11,กระดังงาไทย,121
110,ขันทองพยาบาท,101
111,ข่า,1268
112,ขาไก่,9
113,ข่าป่า,0
114,ข่าลิง,4
115,ข่าเล็ก,2
116,ข้าวโพด,549
117,ข้าวสารดอกเล็ก,1
118,ข้าวสารดอกใหญ่,9
119,ข้าวสาลี,258
12,กระดาด,61
120,ข้าวเหนียว,278
121,ข่าใหญ่,21
122,ขิง,1496
123,ขิงแคง,0
124,ขี้กาขาว,16
125,ขี้กาแดง,22
126,ขี้กาเทศ,3
127,ขี้กาลาย,5
128,ขี้ครอก,17
129,ขี้หนอน,34
13,กระดูกไก่ดำ,6
130,ขี้เหล็ก,295
131,ขี้เหล็กเทศ,3
132,ขี้อาย,42
133,เข็มขาว,13
134,เข็มแดง,161
135,เข็มป่า,12
136,เข็มอาดัม,0
137,เขยตาย,61
138,เขี้ยวงู,104
139,เขี้ยวงูเล็ก,0
14,กระโดน,115
140,ไข่เน่า,78
141,ไข่แหน,0
142,คงคาเดือด,12
143,คนทา,257
144,คนทีเขมา,5
145,คนทีสอ,77
146,คนทีสอทะเล,5
147,ครอบจักรวาล,104
148,ครอบฟันสี,17
149,ครั่ง,38
15,กระไดลิง,9
150,คราม,127
151,ครามขน,1
152,ครามป่า,2
153,ครุฑทอดมัน,3
154,คล้า,66
155,ควินิน (เปลือกแดง),0
156,ควินิน (เปลือกเหลือง),0
157,ควินิน,42
158,คัดเค้า,21
159,คาธา,1
16,กระแตไต่ไม้,32
160,คำฝอย,170
161,คำแสด,24
162,คื่นไฉ่,4
163,คุนตาเช้า,0
164,คูน,84
165,เคี่ยม,6
166,แค,1417
167,แคขาว,26
168,แคป่า,13
169,แคยอดดำ,2
17,กระถิน,178
170,แครอท,443
171,แคแสด,13
172,โคกกระสุน,13
173,โคกกระออม,10
174,โคคลาน,23
175,โคคา,29
176,โคล่า,33
177,ไคร้น้ำ,14
178,ฆ้องสามย่าน,44
179,งา,944
18,กระถินเทศ,6
180,งาขี้ม้อน,108
181,งิ้ว,141
182,เงาะ,159
183,เงาะขนสั้น,0
184,โงบ,0
185,จอก,58
186,จันทน์,491
187,จันทน์ขาว,66
188,จันทน์ชะมด,141
189,จันทน์เทศ,107
19,กระถินพวง,0
190,จั่วจิเช่า,0
191,จามจุรี,25
192,จำปา,212
193,จำปี,121
194,จำปีแขก,87
195,จิก,259
196,จิกทะเล,1
197,จิกนา,10
198,จิกน้ำ,48
199,จิงจ้อ,20
2,กรรณิการ์,46
20,กระถินพิมาน,9
200,จิงจ้อแดง,2
201,จิงจ้อเหลี่ยม,2
202,จิงจ้อเหลือง,2
203,จุกโรหินี,13
204,เจตพังคี,62
205,เจตมูลเพลิงขาว,11
206,เจตมูลเพลิงแดง,51
207,เจตมูลเพลิงฝรั่ง,0
208,เจ่ากัก,0
209,แจง(ใบกว้าง),0
21,กระท้อน,93
210,แจง(ใบแคบ),0
211,ฉัตรพระะอินทร์,0
212,ชงโค,17
213,ชบา,187
214,ชมพู่แก้มแหม่ม,1
215,ชมพู่น้ำดอกไม้,122
216,ชมพู่สาแหรก,0
217,ช้อยนางรำ,12
218,ชะคราม,11
219,ชะเนียง,6
22,กระท่อม,58
220,ชะมดต้น,14
221,ชะมวง,74
222,ชะลูด,57
223,ชะเอมจีน,20
224,ชะเอมเทศ,146
225,ชะเอมไทย,75
226,ชั่งชิก,0
227,ชา,4853
228,ช้างงาเดียว,5
229,ช้างน้าว,14
23,กระทิง,49
230,ช้าแป้น,3
231,ช้าพลู,210
232,ชำมะนาด,4
233,ชำมะนาดเล็ก,0
234,ชำมะเลียง,12
235,ชิงช้าชาลี,43
236,ชิงชี่,114
237,ชิงเฮา,3
238,ชุมเห็ดเทศ,94
239,ชุมเห็ดไทย,67
24,กระทืบยอด,21
240,ซ้องแมว,1
241,ซ่อนกลิ่น,5
242,ซังฉิ,0
243,ซาก,214
244,ซาง,415
245,ซาเซิน,3
246,ซานโตนิกา,0
247,ดอกดิน,4
248,ดองดึงหัวขวาน,5
249,ดาดตะกั่ว,7
25,กระทุงลาย,151
250,ดาวกระจาย,13
251,ดาวเรือง,188
252,ดาวเรืองฝรั่ง,0
253,ดีงูต้น,3
254,ดีปลี,393
255,ดีหมี,16
256,เดือย,84
257,เดือยหิน,7
258,โด่ไม่รู้ล้ม,89
259,ต้นตายใบเป็น,3
26,กระทุงหมาบ้า,15
260,ตองกง,19
261,ตองแตก,41
262,ต้อยติ่ง,26
263,ต่อไส้,18
264,ตะโกนา,117
265,ตะโกสวน,2
266,ตะขบไทย,11
267,ตะขบป่า,17
268,ตะขบฝรั่ง,3
269,ตะขาบบิน,5
27,กระทุ่ม,34
270,ตะคร้อ,8
271,ตะเคียน,88
272,ตะเคียนชันตาแมว,1
273,ตะไคร้,727
274,ตะไคร้ต้น,38
275,ตะไคร้น้ำ,31
276,ตะไคร้หอม,466
277,ตะไคร้หางนาค,23
278,ตะบูนขาว,2
279,ตะบูนดำ,6
28,กระทุ่มขี้หมู,0
280,ตะแบก,29
281,ตะแบกนา,1
282,ตะลังตังช้าง,0
283,ตะลิงปลิง,51
284,ตะลุมพุก,11
285,ตังกุย,106
286,ตันหยง,2
